model,concurrencyLevel,ioBytesPerTask,mean_throughput,std_throughput,trials
fixed-pool,1,65536,2516.755822,190.173841,3
virtual-threads,1,65536,6606.430819,728.849783,3
work-stealing,1,65536,2791.741641,217.611413,3
fixed-pool,2,65536,4623.791553,2240.265670,3
virtual-threads,2,65536,6378.300473,254.710844,3
work-stealing,2,65536,6701.628602,186.752389,3
fixed-pool,4,65536,8215.238590,485.972070,3
virtual-threads,4,65536,5560.142944,363.103799,3
work-stealing,4,65536,6086.717133,3316.408134,3
fixed-pool,8,65536,6456.939579,88.666134,3
virtual-threads,8,65536,6069.708895,472.802100,3
work-stealing,8,65536,5275.976719,1792.615881,3
fixed-pool,1,262144,2366.089858,148.947762,3
virtual-threads,1,262144,6145.095623,834.309435,3
work-stealing,1,262144,2758.726982,9.894341,3
fixed-pool,2,262144,5150.908757,283.018095,3
virtual-threads,2,262144,5712.152764,322.416582,3
work-stealing,2,262144,4871.849185,132.338019,3
fixed-pool,4,262144,7257.073493,797.322188,3
virtual-threads,4,262144,5840.515489,680.018400,3
work-stealing,4,262144,7406.695394,1067.870679,3
fixed-pool,8,262144,6364.115115,283.935894,3
virtual-threads,8,262144,6134.271108,592.471737,3
work-stealing,8,262144,6054.356740,167.261776,3
fixed-pool,1,1048576,1426.572093,20.087973,3
virtual-threads,1,1048576,3738.952791,252.799788,3
work-stealing,1,1048576,1445.955996,12.679602,3
fixed-pool,2,1048576,2897.666210,41.048688,3
virtual-threads,2,1048576,3479.985785,45.927506,3
work-stealing,2,1048576,2230.577863,430.165176,3
fixed-pool,4,1048576,4646.878593,209.477286,3
virtual-threads,4,1048576,3519.894221,163.609750,3
work-stealing,4,1048576,4828.134053,254.171298,3
fixed-pool,8,1048576,4196.632930,1143.473908,3
virtual-threads,8,1048576,3887.326839,378.472879,3
work-stealing,8,1048576,5015.507592,78.153332,3
fixed-pool,1,4194304,634.418631,12.108067,3
virtual-threads,1,4194304,1316.401127,43.991412,3
work-stealing,1,4194304,655.389106,3.122501,3
fixed-pool,2,4194304,1172.301828,29.802101,3
virtual-threads,2,4194304,1315.497180,26.033877,3
work-stealing,2,4194304,1186.331591,33.361970,3
fixed-pool,4,4194304,1647.608354,31.698718,3
virtual-threads,4,4194304,1223.014958,86.675284,3
work-stealing,4,4194304,1601.143505,32.355461,3
fixed-pool,8,4194304,1678.833580,9.723698,3
virtual-threads,8,4194304,1089.720295,389.111734,3
work-stealing,8,4194304,1414.446090,373.346767,3
