sequential,1000,0.0410005,40.883300000000006
sequential,1000,0.0396964,39.5712
sequential,1000,0.0420506,41.8933
fixed-pool-32,1000,0.0097189,49.4119
fixed-pool-32,1000,0.0057072,53.788199999999996
fixed-pool-32,1000,0.0043884,46.027
work-stealing-32,1000,0.0041144,44.052699999999994
work-stealing-32,1000,0.0046387,46.6886
work-stealing-32,1000,0.0039217,44.0325
virtual-threads,1000,0.002334,46.8663
virtual-threads,1000,0.002244,46.721199999999996
virtual-threads,1000,0.0025265,46.4358
sequential,10000,0.3979308,39.67256
sequential,10000,0.4011352,39.97772
sequential,10000,0.3989363,39.74537
fixed-pool-32,10000,0.0180788,46.36658
fixed-pool-32,10000,0.0180466,46.638760000000005
fixed-pool-32,10000,0.0188298,45.66129
work-stealing-32,10000,0.0193775,46.2068
work-stealing-32,10000,0.0172228,46.81748
work-stealing-32,10000,0.0171715,47.4498
virtual-threads,10000,0.0195909,50.70879
virtual-threads,10000,0.0185548,48.881080000000004
virtual-threads,10000,0.0160574,45.95591
sequential,50000,2.2531334,45.009502
sequential,50000,2.4079525,48.126822
sequential,50000,2.4017806,48.005006
fixed-pool-32,50000,0.0913455,54.743601999999996
fixed-pool-32,50000,0.0908221,55.628224
fixed-pool-32,50000,0.0908934,55.04528
work-stealing-32,50000,0.0908448,56.341534
work-stealing-32,50000,0.0987155,59.567166
work-stealing-32,50000,0.0920547,56.680527999999995
virtual-threads,50000,0.0893791,55.146718
virtual-threads,50000,0.0890504,55.180519999999994
virtual-threads,50000,0.0888926,55.449054
sequential,1000,0.0984628,98.42139999999999
sequential,1000,0.0986288,98.5931
sequential,1000,0.0965517,96.5184
fixed-pool-32,1000,0.0151479,110.5555
fixed-pool-32,1000,0.0106368,111.7739
fixed-pool-32,1000,0.0104086,112.1023
work-stealing-32,1000,0.0092264,113.5428
work-stealing-32,1000,0.0080484,112.6455
work-stealing-32,1000,0.0089233,106.98519999999999
virtual-threads,1000,0.0040379,113.2644
virtual-threads,1000,0.0039404,111.06160000000001
virtual-threads,1000,0.0038381,110.6052
sequential,10000,0.961572,96.12371
sequential,10000,0.9572575,95.69278999999999
sequential,10000,0.959675,95.93172
fixed-pool-32,10000,0.0405098,112.33825
fixed-pool-32,10000,0.0390935,111.19650999999999
fixed-pool-32,10000,0.0377507,110.73061
work-stealing-32,10000,0.036808,109.54752
work-stealing-32,10000,0.0368066,111.16527
work-stealing-32,10000,0.036944,111.19272
virtual-threads,10000,0.0352769,109.22907000000001
virtual-threads,10000,0.0356011,111.64282
virtual-threads,10000,0.0351235,110.09697
sequential,50000,4.7816765,95.601932
sequential,50000,4.8077752,96.12475199999999
sequential,50000,4.8174277,96.31571000000001
fixed-pool-32,50000,0.1787035,111.50864200000001
fixed-pool-32,50000,0.1856634,115.945636
fixed-pool-32,50000,0.1753356,110.1815
work-stealing-32,50000,0.1779204,109.95696000000001
work-stealing-32,50000,0.1767455,110.81127400000001
work-stealing-32,50000,0.1762846,110.66359
virtual-threads,50000,0.1731506,109.309302
virtual-threads,50000,0.1747391,110.364278
virtual-threads,50000,0.17422,110.305144
sequential,1000,0.4836989,483.65770000000003
sequential,1000,0.4802921,480.25509999999997
sequential,1000,0.4829796,482.92859999999996
fixed-pool-32,1000,0.0310785,545.7019
fixed-pool-32,1000,0.0268722,549.749
fixed-pool-32,1000,0.0218184,552.9729
work-stealing-32,1000,0.0208179,546.9167
work-stealing-32,1000,0.0194608,545.3751
work-stealing-32,1000,0.019565,551.2715
virtual-threads,1000,0.0183484,561.4436999999999
virtual-threads,1000,0.0174893,542.7098000000001
virtual-threads,1000,0.0196474,551.9137
sequential,10000,4.7864275,478.60758000000004
sequential,10000,4.7984525,479.80562
sequential,10000,4.8002996,479.98796999999996
fixed-pool-32,10000,0.1756637,546.04563
fixed-pool-32,10000,0.1753358,548.88985
fixed-pool-32,10000,0.1750619,551.40355
work-stealing-32,10000,0.1744471,547.52954
work-stealing-32,10000,0.1742256,548.6582
work-stealing-32,10000,0.1740048,548.15658
virtual-threads,10000,0.1722957,547.32018
virtual-threads,10000,0.1771384,562.1694200000001
virtual-threads,10000,0.1822332,579.3435400000001
sequential,50000,24.0130653,480.218414
sequential,50000,23.9356834,478.674674
sequential,50000,24.0324938,480.60979
fixed-pool-32,50000,0.8775672,557.121208
fixed-pool-32,50000,0.861088,547.8300919999999
fixed-pool-32,50000,0.8628149,549.20018
work-stealing-32,50000,0.8629443,547.795204
work-stealing-32,50000,0.861697,548.2981500000001
work-stealing-32,50000,0.8734091,556.2304359999999
virtual-threads,50000,0.8722664,555.8450479999999
virtual-threads,50000,0.8734026,556.6459520000001
virtual-threads,50000,0.8594175,547.8456620000001
